代码	名称	
600022	山东钢铁	
600233	大杨创世	
600242	中昌海运	
600297	广汇汽车	
600331	宏达股份	
600379	宝光股份	
600429	三元股份	
600476	湘邮科技	
600540	新赛股份	
600549	厦门钨业	
600601	方正科技	
600664	哈药股份	
600735	新华锦	
600747	大连控股	
600811	东方集团	
600818	中路股份	
600888	新疆众和	
600892	大晟文化	
600966	博汇纸业	
601258	庞大集团	
603010	万盛股份	
603306	华懋科技	
603611	诺力股份	
603866	桃李面包	
603988	中电电机	
603996	中新科技	
000050	深天马Ａ	
000158	常山股份	
000301	东方市场	
000603	盛达矿业	
000705	浙江震元	
000952	广济药业	
002017	东信和平	
002057	中钢天源	
002086	东方海洋	
002087	新野纺织	
002125	湘潭电化	
002184	海得控制	
002200	云投生态	
002217	合力泰	
002345	潮宏基	
002349	精华制药	
002414	高德红外	
002431	棕榈股份	
002441	众业达	
002461	珠江啤酒	
002479	富春环保	
002505	大康农业	
002518	科士达	
002615	哈尔斯	
002706	良信电器	
300002	神州泰岳	
300018	中元股份	
300049	福瑞股份	
300053	欧比特	
300066	三川智慧	
300119	瑞普生物	
300210	森远股份	
300258	精锻科技	
300265	通光线缆	
300343	联创互联	
300373	扬杰科技	
300376	易事特	
300404	博济医药	
300412	迦南科技	
300416	苏试试验	
300430	诚益通	
300481	濮阳惠成	
